Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
p15709,00000322__,11.57,39.7382,-75.213096,8,808,Gloucester,Harrison Twp,"13,175","6,605","6,570",01/01/2015,Volume 48hrs,East/West
121708,00000551__,2.32,39.64593523,-75.49424911,17,1709,Salem,Pilesgrove Twp,"9,865","4,896","4,969",01/01/2015,Volume 48hrs,North/South
7-8-027,06000626__,0.51,39.46511892,-75.34619287,6,612,Cumberland,Stow Creek Twp,822,410,412,01/01/2015,Volume 48hrs,East/West
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,"3,433","1,496","1,937",01/01/2015,major,North/South
6-4-328,00000035__,2.27,39.93721325,-74.07790832,15,1527,Ocean,Seaside Park Boro,"14,139","6,619","7,520",01/01/2015,Volume 48hrs,North/South
8-8-437,01000634__,0.68,39.43634874,-74.49859152,1,101,Atlantic,Absecon City,"10,909","5,265","5,644",01/01/2015,Volume 48hrs,North/South
7-0-468,17131035__,0.24,39.70074406,-75.46598804,17,1702,Salem,Elmer Boro,522,250,272,01/01/2015,Volume 48hrs,East/West
091801,00000523__,29.42,40.6797444,-74.6479056,18,1801,Somerset,Bedminster Twp,"5,740","2,765","2,975",01/01/2015,Volume 48hrs,North/South
6G5X301,00000071__,5.46,40.181781,-74.026794,13,1306,Monmouth,Belmar Boro,"7,318","3,801","3,517",01/01/2015,Volume 48hrs,North/South
p15301,00000159__,0.73,40.859463,-74.313187,7,707,Essex,Fairfield Boro,"2,589",895,"1,694",01/01/2015,Volume 48hrs,East/West
p15706,00000077__,22.24,39.726797,-75.223041,8,808,Gloucester,Harrison Twp,"12,842","6,519","6,323",01/01/2015,Volume 48hrs,North/South
091802,00000525__,6.83,40.6545056,-74.576,18,1802,Somerset,Bernards Twp,"24,646","12,217","12,429",01/01/2015,Volume 48hrs,North/South
2-4-504,16000684__,0.37,41.00477385,-74.291708,16,1609,Passaic,Pompton Lakes Boro,"10,065","5,579","4,486",01/01/2015,Classification 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,"3,073","1,333","1,740",01/01/2015,major,North/South
7-4-212,00000206__,17.13,39.87951214,-74.73749005,3,333,Burlington,Southampton Twp,"19,188","9,536","9,652",01/01/2015,Volume 48hrs,North/South
p15705,08000607__,3.75,39.751784,-75.258606,8,808,Gloucester,Harrison Twp,"3,922","1,940","1,982",01/01/2015,Volume 48hrs,North/South
7-0-537,06011020__,0.06,39.41757241,-75.21058872,6,601,Cumberland,Bridgeton City,33,17,16,01/01/2015,Volume 48hrs,East/West
8-8-578,06101010__,0.32,39.400059,-75.038583,6,610,Cumberland,Millville City,"7,938","3,428","4,510",01/01/2015,Classification 48hrs,North/South
7-0-530,08231009__,0.04,39.81077404,-75.16084348,8,823,Gloucester,Woodbury Heights Boro,95,53,42,01/01/2015,Volume 48hrs,North/South
p15601,00000088__,7.58,40.078465,-74.091888,15,1507,Ocean,Toms River Twp,"20,997","10,015","10,982",01/01/2015,Volume 48hrs,East/West
7-4-537,08000654__,1.14,39.69805362,-75.01037762,8,811,Gloucester,Monroe Twp,"7,540","3,586","3,954",01/01/2015,Volume 48hrs,North/South
091805,00000512__,18.79,40.6601472,-74.571225,18,1802,Somerset,Bernards Twp,"10,049","4,948","5,101",01/01/2015,Volume 48hrs,East/West
7-0-532,08231039__,0.06,39.81236982,-75.14868419,8,823,Gloucester,Woodbury Heights Boro,76,40,36,01/01/2015,Volume 48hrs,East/West
8-8-600,01021381__,0.04,39.37135586,-74.41406584,1,102,Atlantic,Atlantic City,362,60,302,01/01/2015,Volume 48hrs,East/West
00195B,00000195__,4,40.202151,-74.652137,11,1103,Mercer,Hamilton Twp,"71,613","34,758","36,855",01/01/2015,Weigh in Motion,East/West
3-4-329,00000027Z_,33.72,40.66466456,-74.2231653,20,2004,Union,Elizabeth City,,,"8,067",01/01/2015,Volume 48hrs,South
s15701,00000168__,1.25,39.78706402,-75.05678066,4,415,Camden,Gloucester Twp,"12,339","5,825","6,514",01/01/2015,Volume 48hrs,North/South
15n009r,00000208__B100140,0.08,40.93407739,-74.11783527,2,217,Bergen,Fair Lawn Boro,,,"4,279",01/01/2015,ramp,South
s15701,00000168__,1.25,39.78706402,-75.05678066,4,415,Camden,Gloucester Twp,"14,073","6,868","7,205",01/01/2015,Volume 48hrs,North/South
101407,00000287__,31.78,40.75310665,-74.52553499,14,1413,Morris,Harding Twp,"90,668","44,070","46,598",01/01/2015,Volume 48hrs,North/South
8-4-330,00000047__,17.44,39.17902934,-74.82021811,5,504,Cape May,Dennis Twp,"16,636","8,535","8,101",01/01/2015,Volume 48hrs,North/South
101408,00000287__,37.24,40.80397342,-74.45810179,14,1422,Morris,Morris Twp,"116,847","55,751","61,096",01/01/2015,Volume 48hrs,North/South
15c027,00000440__A200120,0.01,40.523869,-74.313683,12,1225,Middlesex,Woodbridge Twp,,"5,057",,01/01/2015,ramp,North
p15704,00000538__,3.18,39.722785,-75.259857,8,816,Gloucester,South Harrison Twp,"4,824","2,363","2,461",01/01/2015,Volume 48hrs,East/West
7-4-746,06011183__,0.09,39.43142925,-75.23479259,6,601,Cumberland,Bridgeton City,"3,063","1,317","1,746",01/01/2015,Volume 48hrs,East/West
091803,00000525__,9.03,40.685197,-74.575381,18,1802,Somerset,Bernards Twp,"14,930","7,497","7,433",01/01/2015,Volume 48hrs,North/South
121359,13000034__,4.03,40.3695083,-73.9970583,13,1342,Monmouth,Rumson Boro,"5,313","2,718","2,595",01/01/2015,Classification 48hrs,East/West
p15707,00000045__,17.63,39.736257,-75.224615,8,808,Gloucester,Harrison Twp,"13,868","7,041","6,827",01/01/2015,Volume 48hrs,North/South
7-4-376,00000070__,5.46,39.90663,-74.977715,4,409,Camden,Cherry Hill Twp,"86,659","43,355","43,304",01/01/2015,Volume 48hrs,East/West
8-8-616,06101001__,0.08,39.34446624,-75.03238842,6,610,Cumberland,Millville City,192,91,101,01/01/2015,Volume 48hrs,East/West
7-4-218,00000206__,35.38,40.13928303,-74.70326703,3,304,Burlington,Bordentown Twp,"19,966","9,929","10,037",01/01/2015,Volume 48hrs,North/South
s15702,00000168__,0.7,39.77965585,-75.05324284,8,818,Gloucester,Washington Twp,"13,202","5,247","7,955",01/01/2015,Volume 48hrs,North/South
8-7-278,01211145__,0.2,39.32007962,-74.6119753,1,121,Atlantic,Somers Point City,"14,041","6,803","7,238",01/01/2015,Volume 48hrs,East/West
1-7E448,00000080E_,45.45,40.86009984,-74.38313998,14,1429,Morris,Parsippany-Troy Hills Twp,"93,240","47,185","46,055",01/01/2015,Volume 48hrs,East/West
8-4-541,05000623__,0.26,39.26231622,-74.64354673,5,511,Cape May,Upper Twp,"19,197","12,729","6,468",01/01/2015,Volume 48hrs,East/West
8-8-634,06141302__,1.1,39.52703351,-75.03779575,6,614,Cumberland,Vineland City,"2,484","1,249","1,235",01/01/2015,Volume 48hrs,East/West
7-8-071,06000638__,1.38,39.40512646,-75.20714652,6,605,Cumberland,Fairfield Twp,"1,216",609,607,01/01/2015,Volume 48hrs,North/South
p15708,00000322B_,0.7,39.73458,-75.220561,8,808,Gloucester,Harrison Twp,"5,364","2,605","2,759",01/01/2015,Volume 48hrs,East/West
7-4-538,08000641__,1.48,39.68257382,-75.18905959,8,804,Gloucester,Elk Twp,"5,296","2,654","2,642",01/01/2015,Volume 48hrs,East/West
s15703,04151880__,0.2,39.78683844,-75.04735107,4,415,Camden,Gloucester Twp,"5,675","2,850","2,825",01/01/2015,Volume 48hrs,East/West
111909,19000610__,2.08,41.0426953,-74.84606316,19,1920,Sussex,Stillwater Twp,"2,674","1,325","1,349",01/01/2015,Volume 48hrs,East/West
s15702,00000168__,0.7,39.77965585,-75.05324284,8,818,Gloucester,Washington Twp,"12,478","4,900","7,578",01/01/2015,Volume 48hrs,North/South
8-4-504,01000680__,0.47,39.640391,-74.784634,1,113,Atlantic,Hammonton Town,"4,221","2,097","2,124",01/01/2015,Classification 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,"3,225","1,393","1,832",01/01/2015,major,North/South
7-8-146,00000040__,24.54,39.587164,-75.08853,17,1711,Salem,Quinton Twp,"10,650","5,454","5,196",01/01/2015,Classification 48hrs,East/West
111116,11000627__,0.43,40.243128,-74.76725,11,1102,Mercer,Ewing Twp,,"5,938",,01/01/2015,Classification 48hrs,North/South
1116107,16000696__,0.41,41.1323498,-74.35977012,16,1615,Passaic,West Milford Twp,"7,975","4,026","3,949",01/01/2015,Volume 48hrs,East/West
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,"3,494","1,471","2,023",01/01/2015,major,North/South
7-8-047,06000722__,1.84,39.41869022,-75.22391088,6,601,Cumberland,Bridgeton City,"3,028","1,464","1,564",01/01/2015,Volume 48hrs,North/South
1-4-502,21000641__,0.51,40.6590228,-75.15756993,21,2102,Warren,Alpha Boro,,,441,01/01/2015,Volume 48hrs,South
7-8-150,17000630__,2.86,39.63386286,-75.52129645,17,1709,Salem,Pilesgrove Twp,"2,243","1,116","1,127",01/01/2015,Classification 48hrs,East/West
s15702,00000168__,0.7,39.77965585,-75.05324284,8,818,Gloucester,Washington Twp,"13,691","5,622","8,069",01/01/2015,Volume 48hrs,North/South
7-8-118,17000626__,0.48,39.47753932,-75.35965724,17,1705,Salem,Mannington Twp,683,352,331,01/01/2015,Volume 48hrs,North/South
15n008r,00000208__Y100130,0.12,40.93328876,-74.11784478,2,217,Bergen,Fair Lawn Boro,,"1,282",,01/01/2015,ramp,North
1116108,16000696__,1.06,41.13598028,-74.34918688,16,1615,Passaic,West Milford Twp,"5,300","2,635","2,665",01/01/2015,Volume 48hrs,East/West
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,"3,255","1,513","1,742",01/01/2015,major,North/South
121378,13000055__,2.16,40.2631139,-74.2468722,13,1316,Monmouth,Freehold Twp,"23,567","11,795","11,772",01/01/2015,Volume 48hrs,North/South
1-6-027,00000057__,12.18,40.7636795,-74.95348,21,2122,Warren,Washington Twp,"11,016","4,382","6,634",01/01/2015,Volume 48hrs,East/West
8-7-335,01151100__,2.24,39.32513597,-74.50513661,1,116,Atlantic,Margate City,"11,780","5,738","6,042",01/01/2015,Volume 48hrs,North/South
152002,20201332__,0.11,40.64654033,-74.33360909,20,2020,Union,Westfield Town,"3,108","1,247","1,861",01/01/2015,major,North/South
8-4-669,05021041__,0.41,38.93567773,-74.90931124,5,502,Cape May,Cape May City,54,26,28,01/01/2015,Volume 48hrs,North/South
s15703,04151880__,0.2,39.78683844,-75.04735107,4,415,Camden,Gloucester Twp,"7,105","3,659","3,446",01/01/2015,Volume 48hrs,East/West
8-8-659,06141383__,0.28,39.46426244,-75.01421949,6,614,Cumberland,Vineland City,228,113,115,01/01/2015,Classification 48hrs,North/South
s15703,04151880__,0.2,39.78683844,-75.04735107,4,415,Camden,Gloucester Twp,"6,070","2,701","3,369",01/01/2015,Volume 48hrs,East/West
8-8-164,06000690__,2.12,39.54012582,-75.03341563,6,614,Cumberland,Vineland City,"1,698",784,914,01/01/2015,Volume 48hrs,East/West
s15707,04000673__,0.31,39.78361752,-75.04913184,4,415,Camden,Gloucester Twp,"6,714","2,746","3,968",01/01/2015,Volume 48hrs,North/South
8-8-144,00000540__,35.34,39.490684,-75.004737,6,614,Cumberland,Vineland City,"7,752","4,122","3,630",01/01/2015,Classification 48hrs,East/West
110108,01000617__,0.11,39.449706,-74.724125,1,112,Atlantic,Hamilton Twp,"19,134","11,011","8,123",01/01/2015,Classification 48hrs,East/West
8-8-766,05000635__,0.17,38.94134536,-74.93921885,5,512,Cape May,West Cape May Boro,278,145,133,01/01/2015,Volume 48hrs,East/West
s15707,04000673__,0.31,39.78361752,-75.04913184,4,415,Camden,Gloucester Twp,"9,357","4,212","5,145",01/01/2015,Volume 48hrs,North/South
8-8-632,06141270__,0.11,39.52496228,-75.02722312,6,614,Cumberland,Vineland City,21,10,11,01/01/2015,Volume 48hrs,North/South
110149,01000684__,1.82,39.39978204,-74.59142502,1,108,Atlantic,Egg Harbor Twp,"3,378","1,724","1,654",01/01/2015,Volume 48hrs,North/South
s15704,04151849__,0.36,39.78769111,-75.05016718,4,415,Camden,Gloucester Twp,"6,557","3,020","3,537",01/01/2015,Volume 48hrs,East/West
110131,01000651__,5.27,39.360762,-74.581759,1,108,Atlantic,Egg Harbor Twp,"9,340","4,477","4,863",01/01/2015,Classification 48hrs,North/South
8-8-649,06141442__,0.22,39.49421289,-75.01123119,6,614,Cumberland,Vineland City,338,158,180,01/01/2015,Volume 48hrs,North/South
s15708,00000042__,8.06,39.79241903,-75.04970647,4,415,Camden,Gloucester Twp,"100,993","50,947","50,046",01/01/2015,Volume 48hrs,North/South
s15706,04151851__,0.13,39.78854349,-75.04750435,4,415,Camden,Gloucester Twp,"8,265","4,652","3,613",01/01/2015,Volume 48hrs,East/West
s15708,00000042__,8.06,39.79241903,-75.04970647,4,415,Camden,Gloucester Twp,"100,624","50,707","49,917",01/01/2015,Volume 48hrs,North/South
8-8-390,01151100__,7.68,39.3658393,-74.41864414,1,102,Atlantic,Atlantic City,"8,012","3,576","4,436",01/01/2015,Volume 48hrs,North/South
00030M,00000030__,33.5,39.60375,-74.755596,1,117,Atlantic,Mullica Twp,"12,559","6,354","6,205",01/01/2015,Weigh in Motion,East/West
s15706,04151851__,0.13,39.78854349,-75.04750435,4,415,Camden,Gloucester Twp,"6,791","4,163","2,628",01/01/2015,Volume 48hrs,East/West
s15708,00000042__,8.06,39.79241903,-75.04970647,4,415,Camden,Gloucester Twp,"137,288","71,261","66,027",01/01/2015,Volume 48hrs,North/South
s15705,04151850__,0.14,39.78483525,-75.05062033,4,415,Camden,Gloucester Twp,"4,038","1,351","2,687",01/01/2015,Volume 48hrs,North/South
000095,00000095M_,1.2,40.27269,-74.83291,11,1102,Mercer,Ewing Twp,"56,082","26,194","29,888",01/01/2015,Weigh in Motion,North/South
s15704,04151849__,0.36,39.78769111,-75.05016718,4,415,Camden,Gloucester Twp,"7,780","3,253","4,527",01/01/2015,Volume 48hrs,East/West
s15710,04151849__,0.1,39.78725955,-75.05480264,4,415,Camden,Gloucester Twp,"4,092","2,288","1,804",01/01/2015,Volume 48hrs,East/West
s15705,04151850__,0.14,39.78483525,-75.05062033,4,415,Camden,Gloucester Twp,"2,576",982,"1,594",01/01/2015,Volume 48hrs,North/South
8-4-445,00000550__,3.55,39.2594383,-74.90644546,6,609,Cumberland,Maurice River Twp,"2,238","1,107","1,131",01/01/2015,Classification 48hrs,East/West
s15705,04151850__,0.14,39.78483525,-75.05062033,4,415,Camden,Gloucester Twp,"2,129",821,"1,308",01/01/2015,Volume 48hrs,North/South
00095B,00000095M_,6.3,40.286779,-74.748096,11,1107,Mercer,Lawrence Twp,"82,148","40,214","41,934",01/01/2015,Weigh in Motion,North/South
112016,20000610__,8.01,40.66124734,-74.25519996,20,2014,Union,Roselle Boro,"10,120","5,931","4,189",01/01/2015,Volume 48hrs,East/West
140220,00000080__,65.46,40.872817,-74.060403,2,223,Bergen,Hackensack City,"140,264","74,603","65,661",01/01/2015,Volume 48hrs,East/West
1116109,16000698__,1.93,41.12981856,-74.26689763,16,1611,Passaic,Ringwood Boro,"6,856","3,429","3,427",01/01/2015,Volume 48hrs,East/West
0011s4,020001051_,0.34,40.9025158,-74.11833329,2,211,Bergen,Elmwood Park Boro,"2,435","1,342","1,093",01/01/2015,Volume 48hrs,East/West
003120,00000440__,21.3,40.67535,-74.10422,9,901,Hudson,Bayonne City,"29,721","13,854","15,867",01/01/2015,Continous Volume,North/South
1-8-687,21191190__,0.87,40.68606842,-75.17093439,21,2119,Warren,Phillipsburg Town,"4,880","2,435","2,445",01/01/2015,Volume 48hrs,North/South
15n034r,00000208__A100530,0.01,40.9797293,-74.1601472,2,270,Bergen,Wyckoff Twp,,"2,245",,01/01/2015,ramp,North
000068,00000068__,2.4,40.04955,-74.64778,3,334,Burlington,Springfield Twp,"4,504","2,233","2,271",01/01/2015,Weigh in Motion,North/South
131903,19000613__,5.47,41.013956,-74.656888,19,1918,Sussex,Sparta Twp,"3,473","1,675","1,798",01/01/2015,major,North/South
5-4-417,00000528__,0.24,40.14620321,-74.70728204,3,303,Burlington,Bordentown City,"2,701","1,446","1,255",01/01/2015,Classification 48hrs,East/West
131903,19000613__,5.47,41.013956,-74.656888,19,1918,Sussex,Sparta Twp,"3,473","1,675","1,798",01/01/2015,major,North/South
140705,00000280__,7.74,40.797302,-74.26059,7,722,Essex,West Orange Twp,"102,923","47,264","55,659",01/01/2015,Volume 48hrs,East/West
131903,19000613__,5.47,41.013956,-74.656888,19,1918,Sussex,Sparta Twp,"3,191","1,532","1,659",01/01/2015,major,North/South
091904,00000023__,32.54,41.11317606,-74.58067179,19,1906,Sussex,Franklin Boro,"21,770","10,613","11,157",01/01/2015,Volume 48hrs,North/South
s15709,00000042__,7.43,39.78335852,-75.04854421,4,415,Camden,Gloucester Twp,"100,998","51,786","49,212",01/01/2015,Volume 48hrs,North/South
0283s4,17000611__,11.18,39.59315612,-75.15526082,17,1711,Salem,Quinton Twp,"1,366",677,689,01/01/2015,Volume 48hrs,East/West
8-8-734,05031008__,0.11,38.93577112,-74.96388859,5,503,Cape May,Cape May Point Boro,52,27,25,01/01/2015,Volume 48hrs,East/West
0051s4,09011002__,0.12,40.64703323,-74.12822694,9,901,Hudson,Bayonne City,"1,553",694,859,01/01/2015,Volume 48hrs,North/South
6-4-331,00000035Z_,5.94,39.9836722,-74.0661861,15,1507,Ocean,Toms River Twp,"14,874","7,634","7,240",01/01/2015,Volume 48hrs,North/South
0041s4,09011042__,0.38,40.65141399,-74.12917062,9,901,Hudson,Bayonne City,"3,375","1,371","2,004",01/01/2015,Volume 48hrs,East/West
s15709,00000042__,7.43,39.78335852,-75.04854421,4,415,Camden,Gloucester Twp,"121,129","64,670","56,459",01/01/2015,Volume 48hrs,North/South
5-7-322,03000629__,0.82,40.04127459,-74.89232205,3,338,Burlington,Willingboro Twp,"9,838","4,974","4,864",01/01/2015,Classification 48hrs,North/South
s15709,00000042__,7.43,39.78335852,-75.04854421,4,415,Camden,Gloucester Twp,"108,041","53,887","54,154",01/01/2015,Volume 48hrs,North/South
140706,00000280__,10.09,40.772263,-74.239784,7,717,Essex,Orange City,"120,305","64,254","56,051",01/01/2015,Volume 48hrs,East/West
112012,20000607__,3.59,40.64356403,-74.28143309,20,2009,Union,Linden City,"14,572","6,891","7,681",01/01/2015,Volume 48hrs,East/West
5-8-051,11131420__,0.17,40.285472,-74.636367,11,1113,Mercer,West Windsor Twp,"6,464","3,236","3,228",01/01/2015,Classification 48hrs,North/South
2-4-686,16081455__,0.49,40.91762746,-74.16834425,16,1608,Passaic,Paterson City,"22,170","11,348","10,822",01/01/2015,Volume 48hrs,North/South
5-4-318,00000179__,0.27,40.3659306,-74.9439694,10,1017,Hunterdon,Lambertville City,"10,096","4,783","5,313",01/01/2015,Volume 48hrs,North/South
9-1-004,10000627__,2.73,40.5753583,-75.1543972,10,1015,Hunterdon,Holland Twp,560,265,295,01/01/2015,Classification 48hrs,North/South
00130B,00000130__,57,40.158677,-74.694251,3,304,Burlington,Bordentown Twp,"25,889","13,163","12,726",01/01/2015,Weigh in Motion,North/South
6-4-372,00000033__,29.38,40.23649302,-74.24508204,13,1319,Monmouth,Howell Twp,"17,713","8,317","9,396",01/01/2015,Volume 48hrs,East/West
120337,00000068__,4.89,40.08193004,-74.66800702,3,318,Burlington,Mansfield Twp,"9,466","5,027","4,439",01/01/2015,Volume 48hrs,North/South
9-4-307,00000446__,13.49,39.472687,-74.633252,1,112,Atlantic,Hamilton Twp,"35,620","17,373","18,247",01/01/2015,Volume 48hrs,East/West
001133,00000080__,40.6,40.87742,-74.46798,14,1429,Morris,Parsippany-Troy Hills Twp,"148,807","76,013","72,794",01/01/2015,Continous Volume,East/West
9-4-304,00000446__,8.49,39.42345985,-74.57362566,1,108,Atlantic,Egg Harbor Twp,"45,462","23,752","21,710",01/01/2015,Volume 48hrs,East/West
141418,00000287__,44.49,40.89872,-74.414505,14,1401,Morris,Boonton Town,"89,121","48,828","40,293",01/01/2015,Volume 48hrs,North/South
dd10816,00000050__,3.77,39.25507,-74.729417,5,511,Cape May,Upper Twp,"5,379","2,540","2,839",01/01/2015,Classification 48hrs,North/South
6-8-789,13000003__,0.49,40.2789028,-74.3351861,13,1326,Monmouth,Manalapan Twp,"14,465","7,185","7,280",01/01/2015,Classification 48hrs,North/South
2-4-685,16000649__,0.03,40.89875877,-74.16271099,16,1608,Passaic,Paterson City,"12,164","6,345","5,819",01/01/2015,Volume 48hrs,North/South
7-4-508,03000628__,3.99,40.056061,-74.761028,3,334,Burlington,Springfield Twp,"5,602","2,760","2,842",01/01/2015,Classification 48hrs,North/South
9-4-301,00000446__,1.04,39.367059,-74.457208,1,102,Atlantic,Atlantic City,"41,483","18,485","22,998",01/01/2015,Volume 48hrs,East/West
15c046,00000514__X103080,0.01,40.52231251,-74.34088221,12,1205,Middlesex,Edison Twp,,,"8,645",01/01/2015,ramp,South
2-4-664,16021562__,0.28,40.85145121,-74.15098687,16,1602,Passaic,Clifton City,"1,535",800,735,01/01/2015,Classification 48hrs,East/West
0081s4,14381092__,3.68,40.79899353,-74.81452246,14,1438,Morris,Washington Twp,"4,767","2,466","2,301",01/01/2015,Volume 48hrs,East/West
000DRM,07141820__,2.3,40.730175,-74.12135,7,714,Essex,Newark City,"9,293","5,827","3,466",01/01/2015,Continous Volume,North/South
5-4-312,00000519__,21.74,40.6196833,-75.1246722,10,1015,Hunterdon,Holland Twp,"5,150","2,611","2,539",01/01/2015,Volume 48hrs,North/South
121397,00000033__,25.66,40.2509028,-74.3109444,13,1316,Monmouth,Freehold Twp,"18,777","9,456","9,321",01/01/2015,Volume 48hrs,East/West
141413,00000080__,44.58,40.860622,-74.399734,14,1429,Morris,Parsippany-Troy Hills Twp,"187,394","93,341","94,053",01/01/2015,Volume 48hrs,East/West
2-8-880,02000087__,5.15,41.03455303,-74.16679404,2,233,Bergen,Mahwah Twp,"11,093","5,624","5,469",01/01/2015,Volume 48hrs,North/South
0073s4,03000672__,1.45,40.14730796,-74.65339832,3,307,Burlington,Chesterfield Twp,"1,970",927,"1,043",01/01/2015,Volume 48hrs,North/South
112056,20000637__,0.63,40.69791286,-74.30233749,20,2019,Union,Union Twp,"16,195","8,878","7,317",01/01/2015,Volume 48hrs,North/South
s15710,04151849__,0.1,39.78725955,-75.05480264,4,415,Camden,Gloucester Twp,"5,438","2,823","2,615",01/01/2015,Volume 48hrs,East/West
7-8-151,17081254__,0.4,39.667615,-75.498322,17,1709,Salem,Pilesgrove Twp,"1,376",629,747,01/01/2015,Classification 48hrs,East/West
000094,00000094__,33.8,41.14292,-74.59918,19,1911,Sussex,Hardyston Twp,"11,021","5,501","5,520",01/01/2015,Weigh in Motion,North/South
120275,02000090__,6.44,41.02151543,-74.01832502,2,253,Bergen,River Vale Twp,"6,939","3,526","3,413",01/01/2015,Volume 48hrs,East/West
142001,00000078__,43,40.66317022,-74.42055623,20,2001,Union,Berkeley Heights Twp,"94,416","46,414","48,002",01/01/2015,Volume 48hrs,East/West
6-4-401,00000547__,27.14,40.2915917,-74.0555139,13,1311,Monmouth,Eatontown Boro,"19,573","10,009","9,564",01/01/2015,Volume 48hrs,North/South
141604,00000080__,58.38,40.90759221,-74.17046534,16,1608,Passaic,Paterson City,"125,579","59,916","65,663",01/01/2015,Volume 48hrs,East/West
2-5-099,00000080__,52.81,40.89402768,-74.26724651,7,707,Essex,Fairfield Boro,"107,760","52,030","55,730",01/01/2015,Volume 48hrs,East/West
110363,03000633__,0.5,40.02277901,-74.88354015,3,338,Burlington,Willingboro Twp,"6,484","3,076","3,408",01/01/2015,Volume 48hrs,North/South
6-4-383,00000034__,22.02,40.40345052,-74.23099366,13,1329,Monmouth,Matawan Boro,"19,572","10,771","8,801",01/01/2015,Volume 48hrs,North/South
7-4-509,06000669__,0.39,39.432372,-75.218515,6,601,Cumberland,Bridgeton City,"2,950","1,428","1,522",01/01/2015,Classification 48hrs,North/South
131903,19000613__,5.47,41.013956,-74.656888,19,1918,Sussex,Sparta Twp,"3,390","1,659","1,731",01/01/2015,major,North/South
5-4-423,00000514__,0.77,40.448094,-74.847269,10,1021,Hunterdon,Raritan Twp,"4,514","2,355","2,159",01/01/2015,Volume 48hrs,East/West
0102s4,11111559__,0.02,40.2213361,-74.7557778,11,1111,Mercer,Trenton City,,"1,155",,01/01/2015,Volume 48hrs,North
8-4-540,05000613__,0.88,38.999198,-74.9222,5,505,Cape May,Lower Twp,"8,615","4,084","4,531",01/01/2015,Classification 48hrs,East/West
2-5l095,00000003__,9.38,40.79226098,-74.05577212,9,909,Hudson,Secaucus Town,"32,996","18,905","14,091",01/01/2015,Volume 48hrs,East/West
1103a8,03000677__,0.28,40.120055,-74.641476,3,307,Burlington,Chesterfield Twp,"2,858","1,350","1,508",01/01/2015,Classification 48hrs,North/South
2-5-415,00000501__,44.87,40.90672324,-73.96600998,2,215,Bergen,Englewood City,,"9,517",,01/01/2015,Volume 48hrs,North
0123s4,04081592__,0.42,39.95307006,-75.12616691,4,408,Camden,Camden City,498,236,262,01/01/2015,Volume 48hrs,North/South
112037,20000621__,0.9,40.5997301,-74.27307877,20,2013,Union,Rahway City,"10,628","5,333","5,295",01/01/2015,Volume 48hrs,East/West
0111s4,19000623__,0.04,41.04196243,-74.72082888,19,1902,Sussex,Andover Twp,"4,685","2,372","2,313",01/01/2015,Volume 48hrs,North/South
7-8-185,00000045__,9.97,39.65793212,-75.32523018,17,1715,Salem,Woodstown Boro,"7,206","3,599","3,607",01/01/2015,Volume 48hrs,North/South
0143s4,05000660__,0.63,39.22874137,-74.7986447,5,516,Cape May,Woodbine Boro,769,401,368,01/01/2015,Volume 48hrs,North/South
6-4-444,00000528__,20.11,40.105317,-74.383183,15,1511,Ocean,Jackson Twp,"5,638","2,876","2,762",01/01/2015,Classification 48hrs,East/West
1-8-681,21191194__,0.11,40.68935427,-75.19727746,21,2119,Warren,Phillipsburg Town,"2,085",862,"1,223",01/01/2015,Volume 48hrs,East/West
13msad,04031071__,0.18,39.86463392,-75.05190482,4,403,Camden,Barrington Boro,"1,946",880,"1,066",01/01/2015,major,East/West
152001,20000611__,1.03,40.61990884,-74.36911979999999,20,2016,Union,Scotch Plains Twp,"9,604","4,783","4,821",01/01/2015,major,North/South
0133s4,04081623__,0.47,39.96126264,-75.09071543,4,408,Camden,Camden City,,363,,01/01/2015,Volume 48hrs,North
0182s4,12021002__,0.16,40.2985583,-74.5648972,12,1202,Middlesex,Cranbury Twp,"4,380","2,279","2,101",01/01/2015,Volume 48hrs,North/South
112057,20000638__,0.26,40.71959181,-74.28857782,20,2019,Union,Union Twp,"16,156","7,033","9,123",01/01/2015,Volume 48hrs,North/South
0142s4,12181014__,0.22,40.3397194,-74.5490028,12,1218,Middlesex,Plainsboro Twp,331,176,155,01/01/2015,Volume 48hrs,North/South
6-4-453,00000526__,10.11,40.181489,-74.589617,13,1302,Monmouth,Allentown Boro,"8,658","4,375","4,283",01/01/2015,Classification 48hrs,East/West
8-4-313,00000109__,2.78,38.964383,-74.910244,5,505,Cape May,Lower Twp,"12,564","5,701","6,863",01/01/2015,Classification 48hrs,North/South
7-9-359,040006122_,0.18,39.92975903,-75.07315208,4,427,Camden,Pennsauken Twp,"2,733","1,551","1,182",01/01/2015,Volume 48hrs,North/South
